file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
pomological-subocean-anastacia.ngrok-free.dev.har,19,0,0.0,,,1117.1648421033483,4520.339000038803,3383.350000018254,2036.715052629772,0,
pomological-subocean-anastacia.ngrok-free.dev10.har,19,0,0.0,,,1167.8962105331555,4510.557000001427,3386.134000029415,2049.3238421071223,0,
pomological-subocean-anastacia.ngrok-free.dev11.har,19,0,0.0,,,1122.5787368400736,5697.260999993887,3526.6779999947175,2177.4117894819938,0,
pomological-subocean-anastacia.ngrok-free.dev12.har,19,0,0.0,,,1120.0434736778545,5653.028999979142,3400.747000006959,2112.9883684211804,0,
pomological-subocean-anastacia.ngrok-free.dev13.har,19,0,0.0,,,1096.2742105276066,4418.777999992017,3288.5670000105165,2001.4708947335173,0,
pomological-subocean-anastacia.ngrok-free.dev14.har,19,0,0.0,,,1104.8147894692393,4434.640999999829,3316.9769999803975,1929.9886842154112,0,
pomological-subocean-anastacia.ngrok-free.dev15.har,19,0,0.0,,,1126.389105260197,5771.215000015218,3379.398000019137,2125.855473688142,0,
pomological-subocean-anastacia.ngrok-free.dev2.har,19,0,0.0,,,1091.3347894727071,4385.276000015438,3270.137000014074,2107.8619473785357,0,
pomological-subocean-anastacia.ngrok-free.dev3.har,19,0,0.0,,,1136.7236315803366,5463.557999988552,3230.58500001207,2160.3386842026866,0,
pomological-subocean-anastacia.ngrok-free.dev4.har,19,0,0.0,,,1177.764736839905,4571.922999981325,3445.4050000058487,2075.3896842085705,0,
pomological-subocean-anastacia.ngrok-free.dev5.har,19,0,0.0,,,1172.4416315841179,4505.789000017103,3349.7629999765195,2051.3139473654232,0,
pomological-subocean-anastacia.ngrok-free.dev6.har,19,0,0.0,,,1170.9282631572369,5603.088000032585,3347.1060000010766,2173.094052637584,0,
pomological-subocean-anastacia.ngrok-free.dev7.har,19,0,0.0,,,1201.49199999297,4564.241000043694,3437.6679999986663,2154.3424736806437,0,
pomological-subocean-anastacia.ngrok-free.dev8.har,19,0,0.0,,,1092.5364210595096,4504.682999977376,3428.6379999830388,2124.777421058082,0,
pomological-subocean-anastacia.ngrok-free.dev9.har,19,0,0.0,,,1110.5704736802331,4482.297000009567,3357.4140000273474,2051.806000000062,0,
