file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
hardthrottling_v1.har,19,0,0.0,,,1088.340263158007,5441.502999980003,3280.581999977585,2275.5479473730943,0,
hardthrottling_v10.har,19,0,0.0,,,1128.8268421011128,4472.71100000944,3344.5250000222586,2202.7311052600116,0,
hardthrottling_v11.har,19,0,0.0,,,1113.0796315786715,5579.991000005975,3431.3169999513775,2380.86289474373,0,
hardthrottling_v12.har,19,0,0.0,,,1107.8685263155485,4428.162000025623,3303.4259999985807,2031.4415789386992,0,
hardthrottling_v13.har,19,0,0.0,,,1091.1602631526032,5580.035999999382,3413.7129999580793,2292.914684203233,0,
hardthrottling_v14.har,19,0,0.0,,,1085.5834736877803,5520.435999962501,3348.5819999477826,2289.710315792993,0,
hardthrottling_v15.har,19,0,0.0,,,1126.1256315821158,4493.429000023752,3348.4300000127405,2096.7981052603327,0,
hardthrottling_v2.har,19,0,0.0,,,1074.0281052633952,4315.80700003542,3231.162000040058,2100.6590526330433,0,
hardthrottling_v3.har,19,0,0.0,,,1125.330947370203,4346.7839999939315,3254.6679999795742,2083.007315795648,0,
hardthrottling_v4.har,19,0,0.0,,,1121.8343684208626,4302.569999999832,3217.787000001408,1969.7132105295743,0,
hardthrottling_v5.har,19,0,0.0,,,1122.896473688564,4311.868000018876,3221.308999985922,1976.8624210601527,0,
hardthrottling_v6.har,19,0,0.0,,,1121.3746842130984,4285.686000017449,3223.126999975648,2034.8731578989446,0,
hardthrottling_v7.har,19,0,0.0,,,1065.162947366872,4316.822000022512,3258.930000010878,1971.3678947423193,0,
hardthrottling_v8.har,19,0,0.0,,,1119.082684206191,4518.930999969598,3400.4279999644496,2136.760789478247,0,
hardthrottling_v9.har,19,0,0.0,,,1113.9111052590144,4498.6449999851175,3309.204999997746,2022.3726842056126,0,
