file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-06-58].har,3,1,0.3333333333333333,0.0,0,103.33333333333333,312,225,103.33333333333333,1494,38307.692307692305
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-08].har,3,1,0.3333333333333333,0.0,0,72.66666666666667,221,154,72.66666666666667,1494,54081.44796380091
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-16].har,3,1,0.3333333333333333,0.0,0,68.33333333333333,194,135,68.33333333333333,1494,61608.24742268041
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-21].har,3,1,0.3333333333333333,0.0,0,75.0,213,133,75.0,1494,56112.67605633803
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-27].har,3,1,0.3333333333333333,0.0,0,51.666666666666664,163,87,51.666666666666664,1494,73325.15337423312
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-33].har,3,1,0.3333333333333333,0.0,0,85.33333333333333,258,195,85.33333333333333,1494,46325.58139534883
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-39].har,3,1,0.3333333333333333,0.0,0,60.333333333333336,199,115,60.333333333333336,1494,60060.30150753768
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-47].har,3,1,0.3333333333333333,0.0,0,88.66666666666667,221,145,88.66666666666667,1494,54081.44796380091
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-53].har,3,1,0.3333333333333333,0.0,0,83.66666666666667,217,141,83.66666666666667,1494,55078.34101382489
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-59].har,3,1,0.3333333333333333,0.0,0,89.0,226,144,89.0,1494,52884.95575221239
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-06].har,3,1,0.3333333333333333,0.0,0,90.33333333333333,242,140,90.33333333333333,1494,49388.42975206612
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-12].har,3,1,0.3333333333333333,0.0,0,99.0,239,184,99.0,1494,50008.36820083682
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-18].har,3,1,0.3333333333333333,0.0,0,97.33333333333333,276,182,97.33333333333333,1494,43304.34782608695
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-23].har,3,1,0.3333333333333333,0.0,0,68.0,187,112,68.0,1494,63914.438502673795
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-29].har,3,1,0.3333333333333333,0.0,0,52.333333333333336,155,81,52.333333333333336,1494,77109.67741935483
