group,requests_mean,errors_mean,error_rate_mean,dns_ms_mean,tcp_tls_ms_mean,ttfb_ms_mean,plt_ms_mean,oncontent_ms_mean,avg_fetch_ms_mean,total_bytes_mean,throughput_bps_mean,requests_stddev,errors_stddev,error_rate_stddev,dns_ms_stddev,tcp_tls_ms_stddev,ttfb_ms_stddev,plt_ms_stddev,oncontent_ms_stddev,avg_fetch_ms_stddev,total_bytes_stddev,throughput_bps_stddev
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-06-58].har,3.0,1.0,0.3333333333333333,0.0,0.0,103.33333333333333,312.0,225.0,103.33333333333333,1494.0,38307.692307692305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-08].har,3.0,1.0,0.3333333333333333,0.0,0.0,72.66666666666667,221.0,154.0,72.66666666666667,1494.0,54081.44796380091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-16].har,3.0,1.0,0.3333333333333333,0.0,0.0,68.33333333333333,194.0,135.0,68.33333333333333,1494.0,61608.24742268041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-21].har,3.0,1.0,0.3333333333333333,0.0,0.0,75.0,213.0,133.0,75.0,1494.0,56112.67605633803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-27].har,3.0,1.0,0.3333333333333333,0.0,0.0,51.666666666666664,163.0,87.0,51.666666666666664,1494.0,73325.15337423312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-33].har,3.0,1.0,0.3333333333333333,0.0,0.0,85.33333333333333,258.0,195.0,85.33333333333333,1494.0,46325.58139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-39].har,3.0,1.0,0.3333333333333333,0.0,0.0,60.333333333333336,199.0,115.0,60.333333333333336,1494.0,60060.30150753768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-47].har,3.0,1.0,0.3333333333333333,0.0,0.0,88.66666666666667,221.0,145.0,88.66666666666667,1494.0,54081.44796380091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-53].har,3.0,1.0,0.3333333333333333,0.0,0.0,83.66666666666667,217.0,141.0,83.66666666666667,1494.0,55078.34101382489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-07-59].har,3.0,1.0,0.3333333333333333,0.0,0.0,89.0,226.0,144.0,89.0,1494.0,52884.95575221239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-06].har,3.0,1.0,0.3333333333333333,0.0,0.0,90.33333333333333,242.0,140.0,90.33333333333333,1494.0,49388.42975206612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-12].har,3.0,1.0,0.3333333333333333,0.0,0.0,99.0,239.0,184.0,99.0,1494.0,50008.36820083682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-18].har,3.0,1.0,0.3333333333333333,0.0,0.0,97.33333333333333,276.0,182.0,97.33333333333333,1494.0,43304.34782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-23].har,3.0,1.0,0.3333333333333333,0.0,0.0,68.0,187.0,112.0,68.0,1494.0,63914.438502673795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 18-08-29].har,3.0,1.0,0.3333333333333333,0.0,0.0,52.333333333333336,155.0,81.0,52.333333333333336,1494.0,77109.67741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
