group,requests_mean,errors_mean,error_rate_mean,dns_ms_mean,tcp_tls_ms_mean,ttfb_ms_mean,plt_ms_mean,oncontent_ms_mean,avg_fetch_ms_mean,total_bytes_mean,throughput_bps_mean,requests_stddev,errors_stddev,error_rate_stddev,dns_ms_stddev,tcp_tls_ms_stddev,ttfb_ms_stddev,plt_ms_stddev,oncontent_ms_stddev,avg_fetch_ms_stddev,total_bytes_stddev,throughput_bps_stddev
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-54-57].har,20.0,1.0,0.05,0.0,0.0,96.15,331.0,167.0,96.15,14388.0,347746.22356495465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-55-42].har,20.0,1.0,0.05,0.0,0.0,154.9,391.0,162.0,154.9,14388.0,294383.63171355496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-57-07].har,20.0,1.0,0.05,0.0,0.0,97.65,258.0,106.0,97.65,14388.0,446139.5348837209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-57-34].har,20.0,1.0,0.05,0.0,0.0,81.6,251.0,101.0,81.6,14388.0,458581.6733067729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-57-44].har,20.0,1.0,0.05,0.0,0.0,100.95,317.0,153.0,100.95,14388.0,363104.10094637226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-02].har,20.0,1.0,0.05,0.0,0.0,67.7,330.0,198.0,67.7,14388.0,348800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-12].har,20.0,1.0,0.05,0.0,0.0,70.0,312.0,194.0,70.0,14388.0,368923.07692307694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-19].har,20.0,1.0,0.05,0.0,0.0,79.15,310.0,192.0,79.15,14388.0,371303.22580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-26].har,20.0,1.0,0.05,0.0,0.0,63.2,197.0,87.0,63.2,14388.0,584284.2639593908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-33].har,20.0,1.0,0.05,0.0,0.0,138.4,433.0,211.0,138.4,14388.0,265829.09930715937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-43].har,20.0,1.0,0.05,0.0,0.0,92.7,334.0,179.0,92.7,14388.0,344622.75449101796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-52].har,20.0,1.0,0.05,0.0,0.0,83.55,302.0,154.0,83.55,14388.0,381139.0728476821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-58-58].har,20.0,1.0,0.05,0.0,0.0,84.8,332.0,189.0,84.8,14388.0,346698.7951807229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-59-05].har,20.0,1.0,0.05,0.0,0.0,68.7,195.0,87.0,68.7,14388.0,590276.923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 17-59-13].har,20.0,1.0,0.05,0.0,0.0,90.25,293.0,139.0,90.25,14388.0,392846.4163822526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
