file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
pomological-subocean-anastacia.ngrok-free.dev.har,19,0,0.0,,,1125.8270829628025,2155.2968333126046,,2676.3466721964314,10020,37192.09287604126
pomological-subocean-anastacia.ngrok-free.dev10.har,19,0,0.0,,,1179.0685909585782,2078.536749992054,,2271.897262902808,10020,38565.59187625932
pomological-subocean-anastacia.ngrok-free.dev11.har,12,0,0.0,,,1327.1675461000996,,2406047.8272916516,1704.4733718794305,7855,
pomological-subocean-anastacia.ngrok-free.dev12.har,19,0,0.0,,,1282.6015000341852,2168.108874990139,,2344.687984377072,10020,36972.31302573058
pomological-subocean-anastacia.ngrok-free.dev13.har,19,0,0.0,,,1282.6015000341852,2168.108874990139,,2344.687984377072,10020,36972.31302573058
pomological-subocean-anastacia.ngrok-free.dev14.har,19,0,0.0,,,1190.7497325814084,2228.3994583413005,,2714.9248512179934,10020,35972.0065897282
pomological-subocean-anastacia.ngrok-free.dev15.har,17,0,0.0,,,1303.7883455262465,,2455147.9171249666,2127.817272263415,9108,
pomological-subocean-anastacia.ngrok-free.dev2.har,19,0,0.0,,,1190.0945495703797,2166.511666669976,,2703.0492751417974,10020,36999.56996917974
pomological-subocean-anastacia.ngrok-free.dev3.har,19,0,0.0,,,1163.7352075807653,2147.2027500276454,,2674.6086984578715,10020,37332.29197800158
pomological-subocean-anastacia.ngrok-free.dev4.har,19,0,0.0,,,1248.190087204995,2169.7617916506715,,2690.33173531735,10020,36944.147651810825
pomological-subocean-anastacia.ngrok-free.dev5.har,19,0,0.0,,,1241.2748166243546,2158.055083360523,,2291.958364091299,10020,37144.556975429405
pomological-subocean-anastacia.ngrok-free.dev6.har,19,0,0.0,,,1261.8258311443865,1184.3440833035856,,2215.4013541692525,10020,67683.0332756029
pomological-subocean-anastacia.ngrok-free.dev7.har,8,0,0.0,,,1355.8350679813884,,2329600.9129166487,1492.1012980412343,5929,
pomological-subocean-anastacia.ngrok-free.dev8.har,19,0,0.0,,,1244.1208066486165,2087.23549998831,,2341.9026266691567,10020,38404.866149722424
pomological-subocean-anastacia.ngrok-free.dev9.har,19,0,0.0,,,1244.1208066486165,2087.23549998831,,2341.9026266691567,10020,38404.866149722424
