file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-32-42].har,3,1,0.3333333333333333,0.0,7591.666666666666,1172.0,25128,24178,16355.333333333334,1494,475.64469914040114
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-32-54].har,3,1,0.3333333333333333,0.0,0,1093.3333333333333,2363,1346,1093.3333333333333,1494,5057.97714769361
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-06].har,3,1,0.3333333333333333,0.0,0,1146.3333333333333,2375,1092,1147.3333333333333,1494,5032.421052631579
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-16].har,3,1,0.3333333333333333,0.0,0,1584.3333333333333,2994,994,1584.3333333333333,1494,3991.9839679358715
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-25].har,3,1,0.3333333333333333,0.0,0,1234.6666666666667,2667,1267,1235.3333333333333,1494,4481.439820022498
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-34].har,3,1,0.3333333333333333,0.0,0,1077.3333333333333,2360,1243,1077.3333333333333,1494,5064.406779661017
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-43].har,3,1,0.3333333333333333,0.0,0,1421.0,2890,1274,1421.0,1494,4135.640138408305
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-52].har,3,1,0.3333333333333333,0.0,0,1200.0,2849,1582,1200.0,1494,4195.156195156195
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-11].har,3,1,0.3333333333333333,0.0,0,1192.3333333333333,2600,1433,1192.6666666666667,1494,4596.923076923077
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-30].har,3,1,0.3333333333333333,0.0,0,982.6666666666666,2100,1050,982.6666666666666,1494,5691.428571428572
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-38].har,3,1,0.3333333333333333,0.0,0,1107.3333333333333,2318,1318,1108.0,1494,5156.169111302847
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-47].har,3,1,0.3333333333333333,0.0,0,1400.0,2816,1566,1400.0,1494,4244.318181818182
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-56].har,3,1,0.3333333333333333,0.0,0,1108.3333333333333,2365,1182,1108.3333333333333,1494,5053.699788583509
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-04].har,3,1,0.3333333333333333,0.0,0,1228.3333333333333,2792,1642,1228.6666666666667,1494,4280.802292263611
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-11].har,3,0,0.0,0.0,0,1206.0,2320,1254,1206.0,647,2231.034482758621
