group,requests_mean,errors_mean,error_rate_mean,dns_ms_mean,tcp_tls_ms_mean,ttfb_ms_mean,plt_ms_mean,oncontent_ms_mean,avg_fetch_ms_mean,total_bytes_mean,throughput_bps_mean,requests_stddev,errors_stddev,error_rate_stddev,dns_ms_stddev,tcp_tls_ms_stddev,ttfb_ms_stddev,plt_ms_stddev,oncontent_ms_stddev,avg_fetch_ms_stddev,total_bytes_stddev,throughput_bps_stddev
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-32-42].har,3.0,1.0,0.3333333333333333,0.0,7591.666666666666,1172.0,25128.0,24178.0,16355.333333333334,1494.0,475.64469914040114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-32-54].har,3.0,1.0,0.3333333333333333,0.0,0.0,1093.3333333333333,2363.0,1346.0,1093.3333333333333,1494.0,5057.97714769361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-06].har,3.0,1.0,0.3333333333333333,0.0,0.0,1146.3333333333333,2375.0,1092.0,1147.3333333333333,1494.0,5032.421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-16].har,3.0,1.0,0.3333333333333333,0.0,0.0,1584.3333333333333,2994.0,994.0,1584.3333333333333,1494.0,3991.9839679358715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-25].har,3.0,1.0,0.3333333333333333,0.0,0.0,1234.6666666666667,2667.0,1267.0,1235.3333333333333,1494.0,4481.439820022498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-34].har,3.0,1.0,0.3333333333333333,0.0,0.0,1077.3333333333333,2360.0,1243.0,1077.3333333333333,1494.0,5064.406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-43].har,3.0,1.0,0.3333333333333333,0.0,0.0,1421.0,2890.0,1274.0,1421.0,1494.0,4135.640138408305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-33-52].har,3.0,1.0,0.3333333333333333,0.0,0.0,1200.0,2849.0,1582.0,1200.0,1494.0,4195.156195156195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-11].har,3.0,1.0,0.3333333333333333,0.0,0.0,1192.3333333333333,2600.0,1433.0,1192.6666666666667,1494.0,4596.923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-30].har,3.0,1.0,0.3333333333333333,0.0,0.0,982.6666666666666,2100.0,1050.0,982.6666666666666,1494.0,5691.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-38].har,3.0,1.0,0.3333333333333333,0.0,0.0,1107.3333333333333,2318.0,1318.0,1108.0,1494.0,5156.169111302847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-47].har,3.0,1.0,0.3333333333333333,0.0,0.0,1400.0,2816.0,1566.0,1400.0,1494.0,4244.318181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-34-56].har,3.0,1.0,0.3333333333333333,0.0,0.0,1108.3333333333333,2365.0,1182.0,1108.3333333333333,1494.0,5053.699788583509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-04].har,3.0,1.0,0.3333333333333333,0.0,0.0,1228.3333333333333,2792.0,1642.0,1228.6666666666667,1494.0,4280.802292263611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-11].har,3.0,0.0,0.0,0.0,0.0,1206.0,2320.0,1254.0,1206.0,647.0,2231.034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
