group,requests_mean,errors_mean,error_rate_mean,dns_ms_mean,tcp_tls_ms_mean,ttfb_ms_mean,plt_ms_mean,oncontent_ms_mean,avg_fetch_ms_mean,total_bytes_mean,throughput_bps_mean,requests_stddev,errors_stddev,error_rate_stddev,dns_ms_stddev,tcp_tls_ms_stddev,ttfb_ms_stddev,plt_ms_stddev,oncontent_ms_stddev,avg_fetch_ms_stddev,total_bytes_stddev,throughput_bps_stddev
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-38-38].har,20.0,1.0,0.05,0.0,0.0,1540.95,3348.0,1381.0,1541.7,14388.0,34379.92831541219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-38-52].har,20.0,1.0,0.05,0.0,0.0,1253.55,2847.0,1397.0,1253.55,14388.0,40429.92623814542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-39-02].har,20.0,1.0,0.05,0.0,0.0,1160.6,2690.0,1240.0,1160.6,14388.0,42789.591078066915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-39-17].har,20.0,0.0,0.0,0.0,0.0,2065.0555555555557,3838.0,1288.0,1859.15,12163.0,25352.787910369985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-39-27].har,20.0,1.0,0.05,0.0,0.0,1101.35,2826.0,1309.0,1101.35,14388.0,40730.36093418259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-39-37].har,20.0,1.0,0.05,0.0,0.0,1405.05,2937.0,1320.0,1405.3,14388.0,39191.011235955055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-39-48].har,20.0,1.0,0.05,0.0,0.0,1293.9,3233.0,1583.0,1293.9,14388.0,35602.84565419115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-39-57].har,20.0,1.0,0.05,0.0,0.0,1164.6,2523.0,1189.0,1164.6,14388.0,45621.878715814506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-40-06].har,20.0,0.0,0.0,0.0,0.0,1306.2,3168.0,1635.0,1306.2,12163.0,30714.646464646463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-40-15].har,20.0,1.0,0.05,0.0,0.0,1340.65,2814.0,1214.0,1340.65,14388.0,40904.051172707885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-40-24].har,20.0,1.0,0.05,0.0,0.0,1151.35,2866.0,1550.0,1151.35,14388.0,40161.89811584089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-40-39].har,20.0,1.0,0.05,0.0,0.0,2133.8,4419.0,1653.0,2134.2,14388.0,26047.522063815344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-40-48].har,20.0,1.0,0.05,0.0,0.0,1280.85,2665.0,1298.0,1281.05,14388.0,43190.99437148218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-40-59].har,20.0,1.0,0.05,0.0,0.0,1379.7,3186.0,1436.0,1379.7,14388.0,36128.06026365348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-41-08].har,20.0,1.0,0.05,0.0,0.0,1452.05,3415.0,1682.0,1452.05,14388.0,33705.41727672035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
