file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-38].har,4,1,0.25,0.0,0,1210.5,2505,1272,1210.5,6467,20653.09381237525
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-51].har,4,1,0.25,0.0,0,1071.75,2270,1136,1071.75,6467,22791.189427312776
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-35-59].har,4,0,0.0,0.0,0,1204.5,2541,1274,1204.5,3984,12543.093270365998
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-36-05].har,4,0,0.0,0.0,0,1013.0,2071,1121,1013.0,3984,15389.666827619507
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-36-20].har,4,1,0.25,0.0,0,1484.75,2957,1607,1484.75,6467,17496.11092323301
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-36-27].har,4,0,0.0,0.0,0,1162.5,2369,1202,1162.5,6188,20896.580835795692
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-36-33].har,4,0,0.0,0.0,0,1009.0,2221,1171,1009.0,3984,14350.292660963529
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-36-45].har,4,1,0.25,0.0,0,1035.25,2421,1338,1035.25,6467,21369.681949607602
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-36-54].har,4,1,0.25,0.0,0,1286.75,2689,1223,1286.75,6467,19239.86612123466
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-37-02].har,4,1,0.25,0.0,0,1255.25,2669,1502,1255.25,6467,19384.038965904834
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-37-10].har,4,0,0.0,0.0,0,1126.5,2248,997,1127.0,3984,14177.935943060496
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-37-19].har,4,1,0.25,0.0,0,1086.25,2386,1336,1086.25,6467,21683.151718357083
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-37-36].har,4,1,0.25,0.0,0,1398.5,3093,1626,1398.5,6467,16726.80245716133
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-37-45].har,4,1,0.25,0.0,0,1264.0,2792,1458,1264.0,6467,18530.08595988539
pomological-subocean-anastacia.ngrok-free.dev_Archive [26-03-20 23-37-53].har,3,0,0.0,0.0,0,1475.3333333333333,3188,1538,1475.3333333333333,3984,9997.490589711417
